37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
08:20:46.0 (323902)|USER_INFO|[EXTERNAL]|00529000000zYiy|bhakti.gujrathi@eternussolutions.com.frnstgng|Central Standard Time|GMT-06:00
08:20:46.0 (378362)|EXECUTION_STARTED
08:20:46.0 (383757)|CODE_UNIT_STARTED|[EXTERNAL]|0660a0000009uTC|VF: /apex/PAW_New_Edit
08:20:46.0 (970442)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660a0000009uTC
08:20:46.0 (6111654)|HEAP_ALLOCATE|[72]|Bytes:3
08:20:46.0 (6157254)|HEAP_ALLOCATE|[77]|Bytes:152
08:20:46.0 (6172096)|HEAP_ALLOCATE|[342]|Bytes:408
08:20:46.0 (6187708)|HEAP_ALLOCATE|[355]|Bytes:408
08:20:46.0 (6199438)|HEAP_ALLOCATE|[467]|Bytes:48
08:20:46.0 (6228391)|HEAP_ALLOCATE|[139]|Bytes:6
08:20:46.0 (6254454)|HEAP_ALLOCATE|[50]|Bytes:5
08:20:46.0 (6277183)|HEAP_ALLOCATE|[56]|Bytes:5
08:20:46.0 (6283953)|HEAP_ALLOCATE|[64]|Bytes:7
08:20:46.0 (9098728)|VARIABLE_SCOPE_BEGIN|[35]|PAW_New_EditCntrllr.globalSchemaMap|Map<String,Schema.SObjectType>|true|true
08:20:46.0 (9113069)|VARIABLE_SCOPE_BEGIN|[3]|PAW_New_EditCntrllr.yearEndMode|Boolean|false|true
08:20:46.0 (14053730)|VF_DESERIALIZE_VIEWSTATE_END
08:20:46.15 (15057184)|SYSTEM_MODE_ENTER|true
08:20:46.15 (15135326)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
08:20:46.15 (15145356)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
08:20:46.15 (15158506)|SYSTEM_METHOD_ENTRY|[1]|PageMessagesComponentController.PageMessagesComponentController()
08:20:46.15 (15164856)|STATEMENT_EXECUTE|[1]
08:20:46.15 (15984360)|SYSTEM_MODE_ENTER|true
08:20:46.15 (16034532)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
08:20:46.15 (16042397)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
08:20:46.15 (16081308)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x651e8fb3
08:20:46.15 (16087875)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
08:20:46.15 (16095980)|VARIABLE_ASSIGNMENT|[88]|escape|null
08:20:46.0 (16300346)|SYSTEM_MODE_ENTER|true
08:20:46.0 (16325673)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
08:20:46.0 (16339697)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:304
08:20:46.0 (16344304)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:98
08:20:46.0 (16348396)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
08:20:46.0 (16361837)|METHOD_ENTRY|[1]|01p0a000004sKzV|PAW_New_EditCntrllr.PAW_New_EditCntrllr()
08:20:46.0 (16366987)|STATEMENT_EXECUTE|[1]
08:20:46.0 (16370791)|STATEMENT_EXECUTE|[1]
08:20:46.0 (16371933)|STATEMENT_EXECUTE|[3]
08:20:46.0 (17071799)|VARIABLE_SCOPE_BEGIN|[3]|PAW_YearEnd_Config.setting|Year_End_PAW_Settings__c|true|true
08:20:46.0 (17088928)|HEAP_ALLOCATE|[3]|Bytes:1
08:20:46.0 (17095831)|HEAP_ALLOCATE|[3]|Bytes:1
08:20:46.0 (17141049)|METHOD_ENTRY|[1]|01p29000000Aswf|PAW_YearEnd_Config.PAW_YearEnd_Config()
08:20:46.0 (17146605)|STATEMENT_EXECUTE|[1]
08:20:46.0 (17149516)|STATEMENT_EXECUTE|[1]
08:20:46.0 (17164914)|SYSTEM_MODE_ENTER|false
08:20:46.0 (17172107)|HEAP_ALLOCATE|[3]|Bytes:5
08:20:46.0 (17179611)|SYSTEM_MODE_EXIT|false
08:20:46.0 (17188451)|METHOD_EXIT|[1]|PAW_YearEnd_Config
08:20:46.0 (17199653)|METHOD_ENTRY|[3]|01p29000000Aswf|PAW_YearEnd_Config.fetch()
08:20:46.0 (17227291)|SYSTEM_MODE_ENTER|false
08:20:46.0 (17232311)|HEAP_ALLOCATE|[6]|Bytes:5
08:20:46.0 (17236899)|STATEMENT_EXECUTE|[5]
08:20:46.0 (17240233)|STATEMENT_EXECUTE|[7]
08:20:46.0 (18549345)|HEAP_ALLOCATE|[7]|Bytes:20
08:20:46.0 (18598282)|VARIABLE_ASSIGNMENT|[7]|PAW_YearEnd_Config.setting|{"IsDeleted":false,"Name":"Year End PAW Setting (11 more) ...","SetupOwnerId":"00529000000zYiyAAE","Year_End_Mode_Enable (4 more) ...":false}|0x473ed537
08:20:46.0 (18606675)|STATEMENT_EXECUTE|[9]
08:20:46.0 (18610008)|HEAP_ALLOCATE|[9]|Bytes:14
08:20:46.0 (18760772)|HEAP_ALLOCATE|[9]|Bytes:145
08:20:46.0 (18782427)|HEAP_ALLOCATE|[9]|Bytes:159
08:20:46.0 (18800727)|USER_DEBUG|[9]|DEBUG|>>> setting : Year_End_PAW_Settings__c:{IsDeleted=false, Name=Year End PAW Settings (Profile), SetupOwnerId=00529000000zYiyAAE, Year_End_Mode_Enabled__c=false}
08:20:46.0 (18809819)|STATEMENT_EXECUTE|[10]
08:20:46.0 (18815356)|SYSTEM_MODE_EXIT|false
08:20:46.0 (18823596)|METHOD_EXIT|[3]|01p29000000Aswf|PAW_YearEnd_Config.fetch()
