40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
01:08:32.0 (317961)|USER_INFO|[EXTERNAL]|00529000000zYiy|bhakti.gujrathi@eternussolutions.com.frnstgng|Central Standard Time|GMT-06:00
01:08:32.0 (355569)|EXECUTION_STARTED
01:08:32.0 (359206)|CODE_UNIT_STARTED|[EXTERNAL]|01p0a000004sKko|CCPullReservationConcurBatch
01:08:32.0 (2671194)|HEAP_ALLOCATE|[72]|Bytes:3
01:08:32.0 (2700881)|HEAP_ALLOCATE|[77]|Bytes:152
01:08:32.0 (2715345)|HEAP_ALLOCATE|[342]|Bytes:408
01:08:32.0 (2729114)|HEAP_ALLOCATE|[355]|Bytes:408
01:08:32.0 (2742403)|HEAP_ALLOCATE|[467]|Bytes:48
01:08:32.0 (2764994)|HEAP_ALLOCATE|[139]|Bytes:6
01:08:32.0 (5116801)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16441
01:08:32.0 (5257326)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
01:08:32.0 (5273577)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
01:08:32.0 (5280084)|STATEMENT_EXECUTE|[15]
01:08:32.0 (5289844)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
01:08:32.0 (5296257)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
01:08:32.0 (5299876)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:08:32.0 (5306719)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
01:08:32.0 (5374352)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x4c0d6e59
01:08:32.0 (5381155)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
01:08:32.0 (5472178)|VARIABLE_ASSIGNMENT|[31]|jobId|"7072900000OOXLIAA5"
01:08:32.0 (5478980)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
01:08:32.0 (5487813)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
01:08:32.0 (12719590)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
01:08:32.0 (12734786)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
01:08:32.0 (12783995)|METHOD_ENTRY|[1]|01p0a000004sKko|CCPullReservationConcurBatch.CCPullReservationConcurBatch()
01:08:32.0 (12791122)|STATEMENT_EXECUTE|[1]
01:08:32.0 (12794531)|STATEMENT_EXECUTE|[1]
01:08:32.0 (12799644)|METHOD_EXIT|[1]|CCPullReservationConcurBatch
01:08:32.0 (12806813)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
01:08:32.0 (12810524)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
01:08:32.0 (12816445)|VARIABLE_SCOPE_BEGIN|[44]|this|CCPullReservationConcurBatch|true|false
01:08:32.0 (12872166)|VARIABLE_ASSIGNMENT|[44]|this|{"accessToken":"0_KdFPz2HjDVEgzMWGgm (8 more) ...","lstApxlog":"0xe1bb1b4","mapCncIDoppID":"0x668f0f55","mapCncIDReservation":"0x645abecd","mapCncIDTrip":"0x2c422157","mapIdConcurNewTrip":"0x35ca9421","mapTripReservation":"0x4d7e883"}|0x5e2829ba
01:08:32.0 (12887635)|VARIABLE_SCOPE_BEGIN|[44]|BC|Database.BatchableContext|true|false
01:08:32.0 (13024326)|VARIABLE_ASSIGNMENT|[44]|BC|{"jobId":"7072900000OOXLIAA5"}|0x4c0d6e59
01:08:32.0 (13036414)|STATEMENT_EXECUTE|[44]
01:08:32.0 (13109683)|HEAP_ALLOCATE|[50]|Bytes:5
01:08:32.0 (13129471)|HEAP_ALLOCATE|[56]|Bytes:5
01:08:32.0 (13137329)|HEAP_ALLOCATE|[64]|Bytes:7
01:08:32.0 (13149927)|STATEMENT_EXECUTE|[46]
01:08:32.0 (13151240)|STATEMENT_EXECUTE|[47]
01:08:32.0 (14814721)|HEAP_ALLOCATE|[47]|Bytes:7
01:08:32.0 (14824833)|HEAP_ALLOCATE|[47]|Bytes:8
01:08:32.0 (14838968)|METHOD_ENTRY|[1]|01p0a000004sKku|CCUtility.CCUtility()
01:08:32.0 (14845387)|STATEMENT_EXECUTE|[1]
01:08:32.0 (14849143)|STATEMENT_EXECUTE|[1]
01:08:32.0 (14853421)|METHOD_EXIT|[1]|CCUtility
01:08:32.0 (14879354)|METHOD_ENTRY|[47]|01p0a000004sKku|CCUtility.cleanNullFrmLst(List<SObject>)
01:08:32.0 (14904849)|VARIABLE_SCOPE_BEGIN|[3]|inputSobjectList|List<SObject>|true|false
