40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
01:31:53.0 (338263)|USER_INFO|[EXTERNAL]|00529000000zYiy|bhakti.gujrathi@eternussolutions.com.frnstgng|Central Standard Time|GMT-06:00
01:31:53.0 (399450)|EXECUTION_STARTED
01:31:53.0 (404724)|CODE_UNIT_STARTED|[EXTERNAL]|01p0a000004sKko|CCPullReservationConcurBatch
01:31:53.0 (3640857)|HEAP_ALLOCATE|[72]|Bytes:3
01:31:53.0 (3692669)|HEAP_ALLOCATE|[77]|Bytes:152
01:31:53.0 (3727227)|HEAP_ALLOCATE|[342]|Bytes:408
01:31:53.0 (3748884)|HEAP_ALLOCATE|[355]|Bytes:408
01:31:53.0 (3768406)|HEAP_ALLOCATE|[467]|Bytes:48
01:31:53.0 (3802540)|HEAP_ALLOCATE|[139]|Bytes:6
01:31:53.0 (6208408)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16441
01:31:53.0 (6333822)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
01:31:53.0 (6351759)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
01:31:53.0 (6357284)|STATEMENT_EXECUTE|[15]
01:31:53.0 (6366884)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
01:31:53.0 (6373724)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
01:31:53.0 (6377832)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:31:53.0 (6382558)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
01:31:53.0 (6479923)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x576dd1d9
01:31:53.0 (6491405)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
01:31:53.0 (6616233)|VARIABLE_ASSIGNMENT|[31]|jobId|"7072900000OOY8rAAH"
01:31:53.0 (6622671)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
01:31:53.0 (6632726)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
01:31:53.0 (29933860)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
01:31:53.0 (29966559)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
01:31:53.0 (29986201)|METHOD_ENTRY|[1]|01p0a000004sKko|CCPullReservationConcurBatch.CCPullReservationConcurBatch()
01:31:53.0 (29992524)|STATEMENT_EXECUTE|[1]
01:31:53.0 (29997272)|STATEMENT_EXECUTE|[1]
01:31:53.0 (30004653)|METHOD_EXIT|[1]|CCPullReservationConcurBatch
01:31:53.0 (30013838)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
01:31:53.0 (30018649)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
01:31:53.0 (30025627)|VARIABLE_SCOPE_BEGIN|[44]|this|CCPullReservationConcurBatch|true|false
01:31:53.0 (30086166)|VARIABLE_ASSIGNMENT|[44]|this|{"accessToken":"0_k1orShZA0pCDXmEifx (8 more) ...","lstApxlog":"0x2dfd0021","mapCncIDoppID":"0x58f49695","mapCncIDReservation":"0x2f4594ae","mapCncIDTrip":"0x17f2367f","mapIdConcurNewTrip":"0x1dcd79a2","mapTripReservation":"0x1e2e7e51"}|0x3a4275ac
01:31:53.0 (30095373)|VARIABLE_SCOPE_BEGIN|[44]|BC|Database.BatchableContext|true|false
