37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
07:14:33.0 (383983)|USER_INFO|[EXTERNAL]|00529000000zYiy|bhakti.gujrathi@eternussolutions.com.frnstgng|Central Standard Time|GMT-06:00
07:14:33.0 (435783)|EXECUTION_STARTED
07:14:33.0 (442016)|CODE_UNIT_STARTED|[EXTERNAL]|0660a0000009uTC|VF: /apex/PAW_New_Edit
07:14:33.0 (1053124)|VF_DESERIALIZE_VIEWSTATE_BEGIN|0660a0000009uTC
07:14:33.0 (9732516)|HEAP_ALLOCATE|[72]|Bytes:3
07:14:33.0 (9770786)|HEAP_ALLOCATE|[77]|Bytes:152
07:14:33.0 (9788090)|HEAP_ALLOCATE|[342]|Bytes:408
07:14:33.0 (9808603)|HEAP_ALLOCATE|[355]|Bytes:408
07:14:33.0 (9828649)|HEAP_ALLOCATE|[467]|Bytes:48
07:14:33.0 (9859884)|HEAP_ALLOCATE|[139]|Bytes:6
07:14:33.0 (9887513)|HEAP_ALLOCATE|[50]|Bytes:5
07:14:33.0 (9909080)|HEAP_ALLOCATE|[56]|Bytes:5
07:14:33.0 (9920722)|HEAP_ALLOCATE|[64]|Bytes:7
07:14:33.0 (14914889)|VARIABLE_SCOPE_BEGIN|[35]|PAW_New_EditCntrllr.globalSchemaMap|Map<String,Schema.SObjectType>|true|true
07:14:33.0 (14935541)|VARIABLE_SCOPE_BEGIN|[3]|PAW_New_EditCntrllr.yearEndMode|Boolean|false|true
07:14:33.0 (20811613)|VF_DESERIALIZE_VIEWSTATE_END
07:14:33.23 (23155930)|SYSTEM_MODE_ENTER|true
07:14:33.23 (23249516)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:38
07:14:33.23 (23262374)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
07:14:33.23 (23273894)|SYSTEM_METHOD_ENTRY|[1]|PageMessagesComponentController.PageMessagesComponentController()
07:14:33.23 (23279673)|STATEMENT_EXECUTE|[1]
07:14:33.24 (24265929)|SYSTEM_MODE_ENTER|true
07:14:33.24 (24356892)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:14:33.24 (24371945)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
07:14:33.24 (24414565)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x50e19bfc
07:14:33.24 (24422899)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
07:14:33.24 (24430435)|VARIABLE_ASSIGNMENT|[88]|escape|null
07:14:33.0 (24731411)|SYSTEM_MODE_ENTER|true
07:14:33.0 (24764801)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
07:14:33.0 (24779237)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:304
07:14:33.0 (24784240)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:98
07:14:33.0 (24788895)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
07:14:33.0 (24800212)|METHOD_ENTRY|[1]|01p0a000004sKzV|PAW_New_EditCntrllr.PAW_New_EditCntrllr()
07:14:33.0 (24805564)|STATEMENT_EXECUTE|[1]
07:14:33.0 (24808273)|STATEMENT_EXECUTE|[1]
07:14:33.0 (24809450)|STATEMENT_EXECUTE|[3]
07:14:33.0 (26640061)|VARIABLE_SCOPE_BEGIN|[3]|PAW_YearEnd_Config.setting|Year_End_PAW_Settings__c|true|true
07:14:33.0 (26658556)|HEAP_ALLOCATE|[3]|Bytes:1
07:14:33.0 (26668402)|HEAP_ALLOCATE|[3]|Bytes:1
07:14:33.0 (26681699)|METHOD_ENTRY|[1]|01p29000000Aswf|PAW_YearEnd_Config.PAW_YearEnd_Config()
07:14:33.0 (26687087)|STATEMENT_EXECUTE|[1]
07:14:33.0 (26689734)|STATEMENT_EXECUTE|[1]
07:14:33.0 (26709592)|SYSTEM_MODE_ENTER|false
07:14:33.0 (26718520)|HEAP_ALLOCATE|[3]|Bytes:5
07:14:33.0 (26726368)|SYSTEM_MODE_EXIT|false
07:14:33.0 (26734669)|METHOD_EXIT|[1]|PAW_YearEnd_Config
07:14:33.0 (26752373)|METHOD_ENTRY|[3]|01p29000000Aswf|PAW_YearEnd_Config.fetch()
07:14:33.0 (26797049)|SYSTEM_MODE_ENTER|false
07:14:33.0 (26806068)|HEAP_ALLOCATE|[6]|Bytes:5
07:14:33.0 (26812041)|STATEMENT_EXECUTE|[5]
07:14:33.0 (26815962)|STATEMENT_EXECUTE|[7]
07:14:33.0 (28246458)|HEAP_ALLOCATE|[7]|Bytes:20
07:14:33.0 (28298180)|VARIABLE_ASSIGNMENT|[7]|PAW_YearEnd_Config.setting|{"IsDeleted":false,"Name":"Year End PAW Setting (11 more) ...","SetupOwnerId":"00529000000zYiyAAE","Year_End_Mode_Enable (4 more) ...":false}|0x2f14730c
07:14:33.0 (28308827)|STATEMENT_EXECUTE|[9]
07:14:33.0 (28313297)|HEAP_ALLOCATE|[9]|Bytes:14
07:14:33.0 (28494994)|HEAP_ALLOCATE|[9]|Bytes:145
07:14:33.0 (28526574)|HEAP_ALLOCATE|[9]|Bytes:159
