40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
01:14:35.25 (25701820)|USER_INFO|[EXTERNAL]|00529000000zYiy|bhakti.gujrathi@eternussolutions.com.frnstgng|Central Standard Time|GMT-06:00
01:14:35.25 (25755888)|EXECUTION_STARTED
01:14:35.25 (25761174)|CODE_UNIT_STARTED|[EXTERNAL]|01p0a000004sKko|CCPullReservationConcurBatch
01:14:35.25 (28272616)|HEAP_ALLOCATE|[72]|Bytes:3
01:14:35.25 (28322312)|HEAP_ALLOCATE|[77]|Bytes:152
01:14:35.25 (28338221)|HEAP_ALLOCATE|[342]|Bytes:408
01:14:35.25 (28352757)|HEAP_ALLOCATE|[355]|Bytes:408
01:14:35.25 (28364777)|HEAP_ALLOCATE|[467]|Bytes:48
01:14:35.25 (28392523)|HEAP_ALLOCATE|[139]|Bytes:6
01:14:35.25 (31011890)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16441
01:14:35.25 (31158616)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
01:14:35.25 (31177360)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
01:14:35.25 (31183213)|STATEMENT_EXECUTE|[15]
01:14:35.25 (31194923)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
01:14:35.25 (31202495)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
01:14:35.25 (31206736)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:14:35.25 (31212352)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
01:14:35.25 (31271321)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x11a6941a
01:14:35.25 (31278902)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
01:14:35.25 (31358979)|VARIABLE_ASSIGNMENT|[31]|jobId|"7072900000OOXI4AAP"
01:14:35.25 (31365176)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
01:14:35.25 (31372092)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
01:14:35.25 (53958493)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
01:14:35.25 (53981119)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
01:14:35.25 (53999832)|METHOD_ENTRY|[1]|01p0a000004sKko|CCPullReservationConcurBatch.CCPullReservationConcurBatch()
01:14:35.25 (54007231)|STATEMENT_EXECUTE|[1]
01:14:35.25 (54013676)|STATEMENT_EXECUTE|[1]
01:14:35.25 (54025304)|METHOD_EXIT|[1]|CCPullReservationConcurBatch
01:14:35.25 (54036373)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
01:14:35.25 (54041730)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
01:14:35.25 (54059051)|VARIABLE_SCOPE_BEGIN|[44]|this|CCPullReservationConcurBatch|true|false
01:14:35.25 (54138893)|VARIABLE_ASSIGNMENT|[44]|this|{"accessToken":"0_9mhtJyVdY5yNZmmL5U (8 more) ...","lstApxlog":"0x1318bb76","mapCncIDoppID":"0x2f432498","mapCncIDReservation":"0x3451ad56","mapCncIDTrip":"0x1e648855","mapIdConcurNewTrip":"0x79d6e90d","mapTripReservation":"0x40d4c07c"}|0x1d8e8de
01:14:35.25 (54154518)|VARIABLE_SCOPE_BEGIN|[44]|BC|Database.BatchableContext|true|false
01:14:35.25 (54237599)|VARIABLE_ASSIGNMENT|[44]|BC|{"jobId":"7072900000OOXI4AAP"}|0x11a6941a
01:14:35.25 (54251143)|STATEMENT_EXECUTE|[44]
01:14:35.25 (54373291)|HEAP_ALLOCATE|[50]|Bytes:5
01:14:35.25 (54411388)|HEAP_ALLOCATE|[56]|Bytes:5
01:14:35.25 (54421470)|HEAP_ALLOCATE|[64]|Bytes:7
01:14:35.25 (54439680)|STATEMENT_EXECUTE|[46]
01:14:35.25 (54441096)|STATEMENT_EXECUTE|[47]
01:14:35.25 (57734204)|HEAP_ALLOCATE|[47]|Bytes:7
01:14:35.25 (57748072)|HEAP_ALLOCATE|[47]|Bytes:8
01:14:35.25 (57767184)|METHOD_ENTRY|[1]|01p0a000004sKku|CCUtility.CCUtility()
01:14:35.25 (57772545)|STATEMENT_EXECUTE|[1]
01:14:35.25 (57777384)|STATEMENT_EXECUTE|[1]
01:14:35.25 (57782878)|METHOD_EXIT|[1]|CCUtility
01:14:35.25 (57812779)|METHOD_ENTRY|[47]|01p0a000004sKku|CCUtility.cleanNullFrmLst(List<SObject>)
01:14:35.25 (57840789)|VARIABLE_SCOPE_BEGIN|[3]|inputSobjectList|List<SObject>|true|false
