37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
08:26:48.0 (319233)|USER_INFO|[EXTERNAL]|00529000000zYiy|bhakti.gujrathi@eternussolutions.com.frnstgng|Central Standard Time|GMT-06:00
08:26:48.0 (374377)|EXECUTION_STARTED
08:26:48.0 (382644)|CODE_UNIT_STARTED|[EXTERNAL]|0660a0000009uTC|VF: /apex/PAW_New_Edit
08:26:48.0 (11803912)|SYSTEM_MODE_ENTER|true
08:26:48.0 (12144503)|VARIABLE_SCOPE_BEGIN|[35]|PAW_New_EditCntrllr.globalSchemaMap|Map<String,Schema.SObjectType>|true|true
08:26:48.0 (12158980)|VARIABLE_SCOPE_BEGIN|[3]|PAW_New_EditCntrllr.yearEndMode|Boolean|false|true
08:26:48.0 (12326516)|HEAP_ALLOCATE|[72]|Bytes:3
08:26:48.0 (12374648)|HEAP_ALLOCATE|[77]|Bytes:152
08:26:48.0 (12392926)|HEAP_ALLOCATE|[342]|Bytes:408
08:26:48.0 (12413072)|HEAP_ALLOCATE|[355]|Bytes:408
08:26:48.0 (12431114)|HEAP_ALLOCATE|[467]|Bytes:48
08:26:48.0 (12473239)|HEAP_ALLOCATE|[139]|Bytes:6
08:26:48.0 (12495038)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
08:26:48.0 (12505376)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:304
08:26:48.0 (12511684)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:98
08:26:48.0 (12517856)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
08:26:48.0 (12538183)|METHOD_ENTRY|[1]|01p0a000004sKzV|PAW_New_EditCntrllr.PAW_New_EditCntrllr()
08:26:48.0 (12545754)|STATEMENT_EXECUTE|[1]
08:26:48.0 (12552400)|STATEMENT_EXECUTE|[1]
08:26:48.0 (12553664)|STATEMENT_EXECUTE|[3]
08:26:48.0 (17451568)|VARIABLE_SCOPE_BEGIN|[3]|PAW_YearEnd_Config.setting|Year_End_PAW_Settings__c|true|true
08:26:48.0 (17474845)|HEAP_ALLOCATE|[3]|Bytes:1
08:26:48.0 (17483407)|HEAP_ALLOCATE|[3]|Bytes:1
08:26:48.0 (17831969)|METHOD_ENTRY|[1]|01p29000000Aswf|PAW_YearEnd_Config.PAW_YearEnd_Config()
08:26:48.0 (17839953)|STATEMENT_EXECUTE|[1]
08:26:48.0 (17843917)|STATEMENT_EXECUTE|[1]
08:26:48.0 (17874355)|HEAP_ALLOCATE|[50]|Bytes:5
08:26:48.0 (17902767)|HEAP_ALLOCATE|[56]|Bytes:5
08:26:48.0 (17915233)|HEAP_ALLOCATE|[64]|Bytes:7
08:26:48.0 (18264858)|SYSTEM_MODE_ENTER|false
08:26:48.0 (18284955)|HEAP_ALLOCATE|[3]|Bytes:5
08:26:48.0 (18296219)|SYSTEM_MODE_EXIT|false
08:26:48.0 (18308188)|METHOD_EXIT|[1]|PAW_YearEnd_Config
08:26:48.0 (18322994)|METHOD_ENTRY|[3]|01p29000000Aswf|PAW_YearEnd_Config.fetch()
08:26:48.0 (18365747)|SYSTEM_MODE_ENTER|false
08:26:48.0 (18374563)|HEAP_ALLOCATE|[6]|Bytes:5
08:26:48.0 (18380357)|STATEMENT_EXECUTE|[5]
08:26:48.0 (18386073)|STATEMENT_EXECUTE|[7]
08:26:48.0 (19923864)|HEAP_ALLOCATE|[7]|Bytes:20
08:26:48.0 (20010440)|VARIABLE_ASSIGNMENT|[7]|PAW_YearEnd_Config.setting|{"IsDeleted":false,"Name":"Year End PAW Setting (11 more) ...","SetupOwnerId":"00529000000zYiyAAE","Year_End_Mode_Enable (4 more) ...":false}|0x649b7bf0
08:26:48.0 (20023331)|STATEMENT_EXECUTE|[9]
08:26:48.0 (20027510)|HEAP_ALLOCATE|[9]|Bytes:14
08:26:48.0 (20264531)|HEAP_ALLOCATE|[9]|Bytes:145
08:26:48.0 (20299171)|HEAP_ALLOCATE|[9]|Bytes:159
08:26:48.0 (20326683)|USER_DEBUG|[9]|DEBUG|>>> setting : Year_End_PAW_Settings__c:{IsDeleted=false, Name=Year End PAW Settings (Profile), SetupOwnerId=00529000000zYiyAAE, Year_End_Mode_Enabled__c=false}
08:26:48.0 (20337888)|STATEMENT_EXECUTE|[10]
08:26:48.0 (20343989)|SYSTEM_MODE_EXIT|false
08:26:48.0 (20353697)|METHOD_EXIT|[3]|01p29000000Aswf|PAW_YearEnd_Config.fetch()
08:26:48.0 (20423072)|VARIABLE_ASSIGNMENT|[3]|PAW_New_EditCntrllr.yearEndMode|false
08:26:48.0 (20431316)|STATEMENT_EXECUTE|[523]
08:26:48.0 (20441857)|METHOD_EXIT|[1]|PAW_New_EditCntrllr
08:26:48.0 (20451381)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:112
08:26:48.0 (20461959)|VARIABLE_SCOPE_BEGIN|[41]|this|PAW_New_EditCntrllr|true|false
08:26:48.0 (20558091)|VARIABLE_ASSIGNMENT|[41]|this|{}|0x43bdbfa4
08:26:48.0 (20570625)|STATEMENT_EXECUTE|[1]
08:26:48.0 (20572443)|STATEMENT_EXECUTE|[7]
08:26:48.0 (20573418)|STATEMENT_EXECUTE|[8]
08:26:48.0 (20574314)|STATEMENT_EXECUTE|[9]
08:26:48.0 (20575235)|STATEMENT_EXECUTE|[10]
08:26:48.0 (20576313)|STATEMENT_EXECUTE|[11]
08:26:48.0 (20592057)|VARIABLE_ASSIGNMENT|[11]|this.oppId|""|0x43bdbfa4
08:26:48.0 (20597860)|STATEMENT_EXECUTE|[12]
08:26:48.0 (20599563)|STATEMENT_EXECUTE|[13]
08:26:48.0 (20600563)|STATEMENT_EXECUTE|[14]
08:26:48.0 (20601438)|STATEMENT_EXECUTE|[15]
08:26:48.0 (20602381)|STATEMENT_EXECUTE|[16]
08:26:48.0 (20603461)|STATEMENT_EXECUTE|[18]
08:26:48.0 (20604409)|STATEMENT_EXECUTE|[19]
08:26:48.0 (20605284)|STATEMENT_EXECUTE|[20]
08:26:48.0 (20606351)|STATEMENT_EXECUTE|[21]
08:26:48.0 (20607355)|STATEMENT_EXECUTE|[22]
08:26:48.0 (20608356)|STATEMENT_EXECUTE|[23]
08:26:48.0 (20624455)|STATEMENT_EXECUTE|[24]
08:26:48.0 (20626635)|STATEMENT_EXECUTE|[25]
08:26:48.0 (20628513)|STATEMENT_EXECUTE|[26]
08:26:48.0 (20630062)|STATEMENT_EXECUTE|[27]
08:26:48.0 (20631603)|STATEMENT_EXECUTE|[28]
08:26:48.0 (20633375)|STATEMENT_EXECUTE|[30]
08:26:48.0 (20635412)|STATEMENT_EXECUTE|[31]
